!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
 270 2010  2  8  3.333784  2.187711
 271 2010  2  9  3.332188  2.187573
 272 2010  2 10  3.330633  2.187455
 273 2010  2 11  3.329116  2.187356
 274 2010  2 12  3.327639  2.187280
 275 2010  2 13  3.326204  2.187225
 276 2010  2 14  3.324809  2.187191
 277 2010  2 15  3.323455  2.187175
 278 2010  2 16  3.322144  2.187183
 279 2010  2 17  3.320872  2.187211
 280 2010  2 18  3.319645  2.187261
 281 2010  2 19  3.318458  2.187328
 282 2010  2 20  3.317315  2.187420
 283 2010  2 21  3.316216  2.187532
 284 2010  2 22  3.315157  2.187662
 285 2010  2 23  3.314143  2.187816
 286 2010  2 24  3.313173  2.187990
 287 2010  2 25  3.312246  2.188185
 288 2010  2 26  3.311361  2.188398
 289 2010  2 27  3.310521  2.188634
 290 2010  2 28  3.309726  2.188891
 291 2010  3  1  3.308975  2.189166
 292 2010  3  2  3.308269  2.189463
 293 2010  3  3  3.307606  2.189781
 294 2010  3  4  3.306986  2.190117
 295 2010  3  5  3.306413  2.190475
 296 2010  3  6  3.305885  2.190853
 297 2010  3  7  3.305401  2.191251
 298 2010  3  8  3.304961  2.191666
 299 2010  3  9  3.304567  2.192103
 300 2010  3 10  3.304217  2.192560
 301 2010  3 11  3.303913  2.193033
 302 2010  3 12  3.303653  2.193528
 303 2010  3 13  3.303437  2.194043
 304 2010  3 14  3.303267  2.194573
 305 2010  3 15  3.303141  2.195125
 306 2010  3 16  3.303060  2.195696
 307 2010  3 17  3.303024  2.196282
 308 2010  3 18  3.303032  2.196889
 309 2010  3 19  3.303084  2.197515
 310 2010  3 20  3.303181  2.198155
 311 2010  3 21  3.303322  2.198816
 312 2010  3 22  3.303508  2.199495
 313 2010  3 23  3.303737  2.200191
 314 2010  3 24  3.304011  2.200901
 315 2010  3 25  3.304328  2.201631
 316 2010  3 26  3.304689  2.202378
 317 2010  3 27  3.305094  2.203138
 318 2010  3 28  3.305542  2.203918
 319 2010  3 29  3.306033  2.204714
 320 2010  3 30  3.306567  2.205523
 321 2010  3 31  3.307142  2.206351
 322 2010  4  1  3.307763  2.207194
 323 2010  4  2  3.308425  2.208050
 324 2010  4  3  3.309131  2.208923
 325 2010  4  4  3.309878  2.209812
 326 2010  4  5  3.310665  2.210715
 327 2010  4  6  3.311497  2.211630
 328 2010  4  7  3.312370  2.212561
 329 2010  4  8  3.313284  2.213507
 330 2010  4  9  3.314238  2.214463
 331 2010  4 10  3.315234  2.215436
 332 2010  4 11  3.316269  2.216422
 333 2010  4 12  3.317347  2.217421
 334 2010  4 13  3.318463  2.218430
 335 2010  4 14  3.319622  2.219454
 336 2010  4 15  3.320817  2.220490
