!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
1392 2013  3  6  3.324594  2.190903
1393 2013  3  7  3.323624  2.191173
1394 2013  3  8  3.322693  2.191460
1395 2013  3  9  3.321809  2.191767
1396 2013  3 10  3.320970  2.192097
1397 2013  3 11  3.320174  2.192444
1398 2013  3 12  3.319417  2.192813
1399 2013  3 13  3.318708  2.193199
1400 2013  3 14  3.318043  2.193607
1401 2013  3 15  3.317422  2.194032
1402 2013  3 16  3.316840  2.194479
1403 2013  3 17  3.316307  2.194941
1404 2013  3 18  3.315818  2.195426
1405 2013  3 19  3.315372  2.195926
1406 2013  3 20  3.314971  2.196445
1407 2013  3 21  3.314613  2.196985
1408 2013  3 22  3.314300  2.197541
1409 2013  3 23  3.314026  2.198118
1410 2013  3 24  3.313801  2.198709
1411 2013  3 25  3.313619  2.199322
1412 2013  3 26  3.313482  2.199949
1413 2013  3 27  3.313388  2.200597
1414 2013  3 28  3.313338  2.201260
1415 2013  3 29  3.313332  2.201942
1416 2013  3 30  3.313370  2.202639
1417 2013  3 31  3.313452  2.203355
1418 2013  4  1  3.313577  2.204085
1419 2013  4  2  3.313741  2.204834
1420 2013  4  3  3.313953  2.205597
1421 2013  4  4  3.314209  2.206379
1422 2013  4  5  3.314508  2.207174
1423 2013  4  6  3.314850  2.207987
1424 2013  4  7  3.315235  2.208814
1425 2013  4  8  3.315658  2.209658
1426 2013  4  9  3.316129  2.210515
1427 2013  4 10  3.316643  2.211389
1428 2013  4 11  3.317200  2.212275
1429 2013  4 12  3.317799  2.213178
1430 2013  4 13  3.318435  2.214093
1431 2013  4 14  3.319118  2.215025
1432 2013  4 15  3.319844  2.215971
1433 2013  4 16  3.320606  2.216927
1434 2013  4 17  3.321415  2.217899
1435 2013  4 18  3.322266  2.218882
1436 2013  4 19  3.323153  2.219881
1437 2013  4 20  3.324086  2.220889
1438 2013  4 21  3.325055  2.221912
1439 2013  4 22  3.326070  2.222948
1440 2013  4 23  3.327121  2.223992
1441 2013  4 24  3.328216  2.225051
1442 2013  4 25  3.329347  2.226119
1443 2013  4 26  3.330523  2.227200
1444 2013  4 27  3.331734  2.228292
1445 2013  4 28  3.332984  2.229392
1446 2013  4 29  3.334278  2.230505
1447 2013  4 30  3.335606  2.231628
1448 2013  5  1  3.336973  2.232758
1449 2013  5  2  3.338379  2.233901
1450 2013  5  3  3.339827  2.235052
1451 2013  5  4  3.341309  2.236210
1452 2013  5  5  3.342828  2.237379
1453 2013  5  6  3.344385  2.238556
1454 2013  5  7  3.345978  2.239738
1455 2013  5  8  3.347608  2.240931
1456 2013  5  9  3.349270  2.242132
1457 2013  5 10  3.350973  2.243337
1458 2013  5 11  3.352711  2.244551
1459 2013  5 12  3.354485  2.245772
1460 2013  5 13  3.356295  2.246999
1461 2013  5 14  3.358134  2.248229
1462 2013  5 15  3.360012  2.249467
1463 2013  5 16  3.361919  2.250711
1464 2013  5 17  3.363866  2.251959
1465 2013  5 18  3.365840  2.253210
1466 2013  5 19  3.367853  2.254467
1467 2013  5 20  3.369893  2.255729
1468 2013  5 21  3.371965  2.256994
1469 2013  5 22  3.374069  2.258262
1470 2013  5 23  3.376209  2.259531
1471 2013  5 24  3.378376  2.260804
1472 2013  5 25  3.380573  2.262080
1473 2013  5 26  3.382800  2.263358
1474 2013  5 27  3.385056  2.264638
1475 2013  5 28  3.387342  2.265919
1476 2013  5 29  3.389651  2.267201
1477 2013  5 30  3.391994  2.268480
1478 2013  5 31  3.394365  2.269763
1479 2013  6  1  3.396758  2.271045
1480 2013  6  2  3.399183  2.272326
1481 2013  6  3  3.401629  2.273607
1482 2013  6  4  3.404106  2.274887
1483 2013  6  5  3.406603  2.276165
1484 2013  6  6  3.409125  2.277441
1485 2013  6  7  3.411677  2.278715
1486 2013  6  8  3.414247  2.279986
1487 2013  6  9  3.416840  2.281254
1488 2013  6 10  3.419456  2.282518
1489 2013  6 11  3.422094  2.283779
1490 2013  6 12  3.424753  2.285036
1491 2013  6 13  3.427428  2.286288
1492 2013  6 14  3.430129  2.287535
1493 2013  6 15  3.432849  2.288777
1494 2013  6 16  3.435584  2.290013
1495 2013  6 17  3.438342  2.291244
1496 2013  6 18  3.441112  2.292468
1497 2013  6 19  3.443900  2.293685
1498 2013  6 20  3.446710  2.294895
1499 2013  6 21  3.449530  2.296098
1500 2013  6 22  3.452365  2.297292
1501 2013  6 23  3.455216  2.298479
1502 2013  6 24  3.458080  2.299657
1503 2013  6 25  3.460957  2.300826
1504 2013  6 26  3.463847  2.301988
1505 2013  6 27  3.466743  2.303138
1506 2013  6 28  3.469656  2.304278
1507 2013  6 29  3.472573  2.305408
1508 2013  6 30  3.475506  2.306527
1509 2013  7  1  3.478442  2.307634
1510 2013  7  2  3.481392  2.308730
1511 2013  7  3  3.484344  2.309817
1512 2013  7  4  3.487302  2.310889
1513 2013  7  5  3.490266  2.311948
1514 2013  7  6  3.493235  2.312994
1515 2013  7  7  3.496209  2.314027
1516 2013  7  8  3.499186  2.315050
1517 2013  7  9  3.502159  2.316055
1518 2013  7 10  3.505141  2.317046
1519 2013  7 11  3.508123  2.318022
1520 2013  7 12  3.511099  2.318983
1521 2013  7 13  3.514075  2.319932
1522 2013  7 14  3.517055  2.320862
1523 2013  7 15  3.520027  2.321776
1524 2013  7 16  3.522995  2.322673
1525 2013  7 17  3.525960  2.323557
1526 2013  7 18  3.528919  2.324421
1527 2013  7 19  3.531872  2.325267
1528 2013  7 20  3.534818  2.326099
1529 2013  7 21  3.537750  2.326910
1530 2013  7 22  3.540680  2.327702
1531 2013  7 23  3.543599  2.328476
1532 2013  7 24  3.546503  2.329233
1533 2013  7 25  3.549394  2.329969
1534 2013  7 26  3.552279  2.330685
1535 2013  7 27  3.555144  2.331384
1536 2013  7 28  3.557995  2.332060
1537 2013  7 29  3.560831  2.332716
1538 2013  7 30  3.563650  2.333354
1539 2013  7 31  3.566451  2.333969
1540 2013  8  1  3.569234  2.334562
1541 2013  8  2  3.571998  2.335137
1542 2013  8  3  3.574735  2.335687
1543 2013  8  4  3.577457  2.336215
1544 2013  8  5  3.580150  2.336724
1545 2013  8  6  3.582826  2.337208
1546 2013  8  7  3.585471  2.337670
1547 2013  8  8  3.588091  2.338111
1548 2013  8  9  3.590684  2.338527
1549 2013  8 10  3.593256  2.338920
1550 2013  8 11  3.595793  2.339292
1551 2013  8 12  3.598296  2.339638
1552 2013  8 13  3.600773  2.339963
1553 2013  8 14  3.603219  2.340262
1554 2013  8 15  3.605633  2.340537
1555 2013  8 16  3.608013  2.340791
1556 2013  8 17  3.610354  2.341018
1557 2013  8 18  3.612665  2.341220
1558 2013  8 19  3.614934  2.341402
1559 2013  8 20  3.617166  2.341556
1560 2013  8 21  3.619365  2.341686
1561 2013  8 22  3.621521  2.341794
1562 2013  8 23  3.623636  2.341875
1563 2013  8 24  3.625712  2.341935
1564 2013  8 25  3.627745  2.341967
1565 2013  8 26  3.629737  2.341974
1566 2013  8 27  3.631686  2.341960
1567 2013  8 28  3.633591  2.341919
1568 2013  8 29  3.635452  2.341853
1569 2013  8 30  3.637267  2.341765
1570 2013  8 31  3.639036  2.341650
1571 2013  9  1  3.640753  2.341514
1572 2013  9  2  3.642429  2.341351
1573 2013  9  3  3.644056  2.341163
1574 2013  9  4  3.645629  2.340954
1575 2013  9  5  3.647158  2.340719
1576 2013  9  6  3.648632  2.340459
1577 2013  9  7  3.650055  2.340178
1578 2013  9  8  3.651433  2.339871
1579 2013  9  9  3.652753  2.339540
1580 2013  9 10  3.654021  2.339188
1581 2013  9 11  3.655242  2.338811
1582 2013  9 12  3.656403  2.338410
1583 2013  9 13  3.657512  2.337989
1584 2013  9 14  3.658566  2.337542
1585 2013  9 15  3.659565  2.337072
1586 2013  9 16  3.660509  2.336583
1587 2013  9 17  3.661398  2.336068
1588 2013  9 18  3.662230  2.335532
1589 2013  9 19  3.663007  2.334976
1590 2013  9 20  3.663727  2.334396
1591 2013  9 21  3.664390  2.333794
1592 2013  9 22  3.664996  2.333173
1593 2013  9 23  3.665544  2.332529
1594 2013  9 24  3.666035  2.331864
1595 2013  9 25  3.666468  2.331181
1596 2013  9 26  3.666843  2.330474
1597 2013  9 27  3.667159  2.329748
1598 2013  9 28  3.667411  2.329002
1599 2013  9 29  3.667611  2.328239
1600 2013  9 30  3.667751  2.327454
1601 2013 10  1  3.667833  2.326649
1602 2013 10  2  3.667856  2.325829
1603 2013 10  3  3.667821  2.324988
1604 2013 10  4  3.667721  2.324128
1605 2013 10  5  3.667567  2.323251
1606 2013 10  6  3.667355  2.322359
1607 2013 10  7  3.667084  2.321446
1608 2013 10  8  3.666754  2.320517
1609 2013 10  9  3.666366  2.319571
1610 2013 10 10  3.665919  2.318612
1611 2013 10 11  3.665409  2.317634
1612 2013 10 12  3.664846  2.316640
1613 2013 10 13  3.664225  2.315631
1614 2013 10 14  3.663547  2.314607
1615 2013 10 15  3.662811  2.313571
1616 2013 10 16  3.662018  2.312518
1617 2013 10 17  3.661168  2.311451
1618 2013 10 18  3.660262  2.310371
1619 2013 10 19  3.659300  2.309278
1620 2013 10 20  3.658282  2.308174
1621 2013 10 21  3.657209  2.307056
1622 2013 10 22  3.656086  2.305925
1623 2013 10 23  3.654903  2.304782
1624 2013 10 24  3.653666  2.303629
1625 2013 10 25  3.652376  2.302464
1626 2013 10 26  3.651033  2.301289
1627 2013 10 27  3.649642  2.300106
1628 2013 10 28  3.648194  2.298911
1629 2013 10 29  3.646700  2.297707
1630 2013 10 30  3.645150  2.296493
1631 2013 10 31  3.643555  2.295271
1632 2013 11  1  3.641905  2.294041
1633 2013 11  2  3.640212  2.292803
1634 2013 11  3  3.638465  2.291557
1635 2013 11  4  3.636675  2.290307
1636 2013 11  5  3.634839  2.289048
1637 2013 11  6  3.632956  2.287783
1638 2013 11  7  3.631023  2.286511
1639 2013 11  8  3.629050  2.285235
1640 2013 11  9  3.627033  2.283953
1641 2013 11 10  3.624973  2.282666
1642 2013 11 11  3.622875  2.281376
1643 2013 11 12  3.620731  2.280081
1644 2013 11 13  3.618546  2.278783
1645 2013 11 14  3.616321  2.277482
1646 2013 11 15  3.614062  2.276179
1647 2013 11 16  3.611759  2.274873
1648 2013 11 17  3.609419  2.273565
1649 2013 11 18  3.607048  2.272256
1650 2013 11 19  3.604641  2.270946
1651 2013 11 20  3.602194  2.269635
1652 2013 11 21  3.599718  2.268323
1653 2013 11 22  3.597209  2.267012
1654 2013 11 23  3.594668  2.265702
1655 2013 11 24  3.592096  2.264392
1656 2013 11 25  3.589494  2.263083
1657 2013 11 26  3.586863  2.261776
1658 2013 11 27  3.584203  2.260472
1659 2013 11 28  3.581521  2.259169
1660 2013 11 29  3.578808  2.257867
1661 2013 11 30  3.576074  2.256570
1662 2013 12  1  3.573311  2.255277
1663 2013 12  2  3.570530  2.253989
1664 2013 12  3  3.567720  2.252704
1665 2013 12  4  3.564895  2.251424
1666 2013 12  5  3.562049  2.250149
1667 2013 12  6  3.559183  2.248879
1668 2013 12  7  3.556299  2.247615
1669 2013 12  8  3.553397  2.246354
1670 2013 12  9  3.550479  2.245103
1671 2013 12 10  3.547550  2.243858
1672 2013 12 11  3.544601  2.242621
1673 2013 12 12  3.541644  2.241391
1674 2013 12 13  3.538669  2.240168
1675 2013 12 14  3.535687  2.238951
1676 2013 12 15  3.532695  2.237746
